"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bulgaria","BGR","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","995769230.769231","221714285.714286","206266666.666667","34555555.5555556","331666666.666667","-69842105.2631579","-695823529.411765","-516230769.230769","-74529411.7647059","-382111111.111111","-744545454.545455","467741935.483871","-603092783.505155","-826279056.423143","-60608856.0885609","1788305936.35631","1373758118.37366","1435862366.25203","1027746434.20137","-623502748.000218","-703095924.927294","-1321717391.71896","-1308143333.4537","-2152555787.15705","-2916750042.73513","-4377274690.83518","-5876221300.61138","-8363361091.6725","-10750910042.7537","-4294537419.35865","-1622262590.65953","86376770.3366309","-1784019575.64212","-317903171.046377","-620476158.130689","457062627.637849","2649239911.70977","2559225437.53249","1686581124.32824","2224639116.24979","1379905390.41056","1410789744.20995","715500161.516098",
"Bahrein","BHR","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","272486335.898116","385638032.940527","444947075.651455","139361170.583407","103191489.476054","435638563.829787","424202127.659574","507712765.957447","660638297.87234","425531914.893617","886169680.851064","-490957712.765957","-587234042.553192","163563834.499844","401329824.591872","673670265.023182","714627455.386682","607713088.483931","44414632.0892253","1052925590.25518","2043882978.7234","1812765957.44681","1331914893.61702","1775797872.34043","2166223404.25532","3109840425.53191","4103191489.3617","4688031914.89362","4955053191.48936","4350797872.34042","4783244680.85106","7102659574.46809","5659840425.53191","5771542553.19149","5520212765.95745","3503457446.80851","2830585106.38298","3005585106.38298","2910372340.42553","4356648936.17021","1952393617.02128","7657180851.06383","",
"Bahamas","BHS","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","117700000","126100000","98800000","100200000","71500000","98400000","148200000","107800000","128100000","146200000","149800000","","-102190000","-56940000","-131180000","-30080000","17730000","-76880000","-184040000","-353010000","-378300000","-574800000","-214300000","-286700000","-362300000","184100000","49400000","38800000","-381300000","-1111500000","-831300000","-888600000","-812500000","-885300000","-1355800000","-857300000","-621900000","-919300000","-89599999.9999995","-504200000","-944500000","-546000000","-173200000","-951000000","-1174500000","-662700000",
"Bosnia y Herzegovina","BIH","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-891000000","-953000000","-1678999933.54599","-1651026423.12075","-2925389345.55396","-3117889797.03382","-2315643108.99536","-2430359348.08284","-2723277469.74201","-3348010433.39505","-3731533488.85453","-4009076506.47864","-3513807479.32268","-4630861794.20121","-6205303852.5371","-4179566886.72542","-3706157346.17547","-4430692302.34526","-4038640531.32092","-3716744770.45119","-4189455494.8821","-2962993198.0231","-2811731736.16113","-2931680824.73686","-2962600562.52285","-2956865681.37933","-2780731534.62405","-2781147728.48291","-3592507414.86943",
"Belarús","BLR","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500000000","0","370370370.37037","-2561983471.07438","-1916750587.44545","-613102225.905209","-601384615.384615","-818941611.462024","-739095560.180368","-294775266.250827","-405990274.651636","-438561151.079137","-546875808.477966","-682552482.708891","-1472694806.059","214874037.756173","-1542224779.9378","-2837780851.42901","-4692478810.70821","-5536386505.82433","-7538702237.02455","-644509813.118555","2935204319.59208","-2378217921.57197","-606410195.907171","60278833.5585244","-90974759.3629657","115921528.71516","909890271.682898","-425952337.319831","1896641833.10618","3936305356.14051","4246481551.92088",
"Belice","BLZ","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","-24626081.975","-38664484.385","-36654968.32","-27981631.165","-17199270.515","-25396382.81","-8304599.36","-9305608.35999998","-21295465.94","-39271147.05","12500000","-43500000","11500000","9000000","16500000","25000000","33500000","19000000","9500000","-52000000","-123500000","-110000000","-72500000","-68500000","-25500000","-23000000","75000000","89000000","38500000","22000000","112000000","119500000","143500000","68500000","82500000","-20500000","-42000000","43000000","56500000","38000000","-130500000","-90500000","-82142135.3499999",
"Bermudas","BMU","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1790984000","1818563000","1737596000","1742927000","1655177000","1773181000","1787781000","1763000000","1835618000","1924663000","1727048000","1852700000","1989600000",
"Bolivia","BOL","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","-29124579.1245791","-28451178.4511785","-46885521.8855219","-45202020.2020202","-17255892.2558923","-31565656.5656566","-34932659.9326599","-26599326.5993266","-36531986.5319865","-26346801.3468013","2441077.44107744","-32996632.996633","-36555095.9007146","-7646176.91154423","178410794.602699","-150974512.743628","-60369815.0924538","-92653673.1634183","-282358820.589705","-142427707.890868","101731932.185987","18398087.8141111","-18995804.9402542","231967060.907076","-133569684.337204","-203956027.197906","-173552928.613416","-189645069.083373","-200978100.435904","-31043047.9302197","-55943531.0908768","-293146052.928623","-509039434.946652","-533647884.957309","-331014475.293167","-311257427.856697","-347105517.909003","-653750954.384619","-1094799569.27842","-862181683.151993","-759861945.352245","-430159020.21871","-480760237.099024","-61940890.001088","422223676.915323","329859581.425262","1031305109.03958","987865662.160162","1158210467.41611","488671452.991453","1348616807.60095","1366621168.84732","2541509594.79016","2132066222.86541","436112735.166425","-2044775817.65557","-2520136570.18813","-2586732503.61794","-2067712966.71491","-2642975629.52243","-1816138075.25326","-1361970723.589","",
"Brasil","BRA","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","-8829343.27884779","-9149902.73913831","-263069676.369544","-17161538.9976371","150139738.736652","474987147.832509","225450250.410952","0","-206594912.095925","24981601.3881669","-177912553.313845","-848612874.357427","-927784676.017155","-975055646.878116","-6172123572.14926","-4907560235.7633","-3659545985.35254","-1172207021.18182","-2387152105.92509","-4615615400.08842","-5295341312.05211","-999146350.182735","-1872613597.52443","4906714630.16912","11753827695.9679","11487450960.2675","6601570907.53894","9608553171.41755","17141241474.9105","14323932823.013","5760624858.5573","3111769520.1871","9698738416.24854","6167850398.52087","1919413420.92914","-14822821612.786","-18498238583.2255","-23042062446.3701","-20535456908.5608","-11107589643.1753","-14837153511.6512","-12279679272.936","4296672510.81861","12399390874.319","22844655287.8584","30323247754.6045","29982709815.2308","19039018382.4316","-3214805845.89096","-6721884727.10407","-22994193844.6912","-20128181138.8012","-33507271494.3223","-56911839674.2148","-65368100298.6337","-20783885541.8062","7176955166.83596","14820190671.1284","7548800906.29106","-12071833973.6825","8930825039.76795","15538228056.9899","14421499699.4636",
"Barbados","BRB","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","-40322756.2991931","-79796386.8649566","-56991728.1243771","-56831402.5754487","-71794361.8555163","-16457017.8491523","-87953065.1817233","-26102520.7577189","12032019.0921295","54342962.2632129","92030030.3286432","2585392.53219311","1044100.83030876","52354198.7769105","29135385.07433","-4872470.54144086","-17252523.2436732","132000000","92576940.2873763","152538159.399393","40471336.9462537","60657286.3322229","-69159250.2361657","-91781434.8928554","-142246308.357779","-125650000","-134950000","-170850000","-134000000","-298750000","-305050000","-193150000","-172250000","-343150000","-140300000","-410950000","-499700000","-398800000","-483950000","-457100000","-342077900","-269417550","-246104200","-225000000","-79250000","-329600000","-489050000","",
"Brunei Darussalam","BRN","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","780510491.881827","778475941.76764","1072913751.03815","1360990407.89569","1563747100.97871","2268966495.98155","4026698322.06272","3468087709.11297","3075197720.8503","2663921820.43204","","","","","","794253752.707976","863984110.637047","981158287.748546","416828664.388466","123159505.484673","109332965.252958","184143222.506394","-36169165.3137705","-68022362.0709107","-280831460.293717","341011667.948246","1892626273.95401","1698886964.91784","1489806869.80909","2184926653.33729","2913385430.17364","4087002834.35898","5334710917.17715","4893565021.60327","7295260496.29541","3970384983.31896","5406970866.20131","7312906260.34349","6606288331.0771","4550156815.83507","5801829686.43664","1878435980.15513","1349307499.21843","1694274871.83959","1352406547.55517","994356245.736714","530802550.916188","1850917827.13828","4304627152.24833",
"Bhután","BTN","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","-32622638.1781467","-47729850.544962","-50661376.633311","-55829852.5616302","-54490249.4329774","-62253663.4684945","-70054847.0235251","-36819041.0060564","-59745995.6288735","-27380974.3921605","-15231239.4663924","-21755367.7193734","-59987846.3235129","-29461066.7100277","-26798843.0133893","-14731516.0386027","-32209364.633067","-37366213.7386218","-61510883.6502937","-82083958.6738908","-83043580.6642865","-102244211.288429","-136716849.712792","-157356936.745246","-218810625.129644","-214532287.149823","-42717812.7887132","-27832489.0201668","-115375677.45759","-221360210.114877","-448346328.888703","-532970886.656372","-443398703.899965","-392318178.877296","-408531424.840695","-581236547.262318","-521930032.538568","-515565865.481402","-551807779.820579","-361343041.035251","-385821283.475349","-531040656.019247","",
"Botswana","BWA","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","-4065491.52350773","-5037117.71530152","-6028610.71302879","-6990199.32567452","-8225763.51066715","-8655175.55782593","-11157858.9504774","-15340639.9033144","-26429635.6113467","-23048305.5093183","-34896047.1861433","-36213384.6700509","-38106777.1051889","-56474861.8094098","-72997319.6140285","-71736913.5756827","-59282514.8888036","-83139374.5501736","-97203791.1859754","-91226247.7499892","-141979478.454733","-234362395.533087","-149321014.403061","-5652159.71427129","35351927.5514463","167878479.970199","267408966.782964","524467558.664218","703247725.361789","403620883.399929","199519923.101697","256312379.733769","273993055.96701","332119311.205803","317919069.761725","334823522.055835","809639221.105048","660519398.226308","-156298806.402453","628795732.804197","679485671.723705","537440936.79381","678720195.960939","887844461.504273","737177438.257794","1720112572.55653","1681219954.37628","1528386720.5317","-548818858.845516","-1701263674.02462","-1308000647.66601","-1584905760.25972","-2175855219.37301","-431508352.772037","474683249.004298","-909144079.000951","1320940303.74448","630699440.278973","170521065.00261","-1491507155.78475","-2256407734.06636","-925067450.54947","299841779.422298",
